Objetivo PND,Meta ODS,Vinculación,PND_subgrupo,ODS_subgrupo,ODS_grupo,PND_grupo
1.1.1 Garantizar a toda la población el derecho universal a la identidad. ,"16.9 De aquí a 2030, proporcionar acceso a una identidad jurídica para todos, en particular mediante el registro de nacimientos",Parcial,PND_1_1_1,ODS_16_9,ODS_16,PND_1_1
1.1.10 Reducir la mortalidad neonatal y de niños menores de 5 años.,"3.2  Para 2030, poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años, logrando que todos los países intenten reducir la mortalidad neonatal al menos hasta 12 por cada 1.000 nacidos vivos, y la mortalidad de niños menores de 5 años al menos hasta 25 por cada 1.000 nacidos vivos",Total,PND_1_1_10,ODS_3_2 ,ODS_3,PND_1_1
1.1.10 Reducir la mortalidad neonatal y de niños menores de 5 años.,"3.7  Para 2030, garantizar el acceso universal a los servicios de salud sexual y reproductiva, incluidos los de planificación de la familia, información y educación, y la integración de la salud reproductiva en las estrategias y los programas nacionales",Contribucion,PND_1_1_10,ODS_3_7 ,ODS_3,PND_1_1
1.1.11. Disminuir el consumo de sustancias adictivas.,"3.5  Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas, incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol",Total,PND_1_1_11,ODS_3_5 ,ODS_3,PND_1_1
1.1.12 Aumentar el acceso a servicios de atención y desarrollo en la primera infancia con un enfoque integral,"4.2 De aquí a 2030, asegurar que todas las niñas y todos los niños tengan acceso a servicios de atención y desarrollo en la primera infancia y educación preescolar de calidad, a fin de que estén preparados para la enseñanza primaria",Total,PND_1_1_12,ODS_4_2,ODS_4,PND_1_1
1.1.12 Aumentar el acceso a servicios de atención y desarrollo en la primera infancia con un enfoque integral,"5.2 Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación",Contribucion,PND_1_1_12,ODS_5_2,ODS_5,PND_1_1
1.1.13 Proteger a los niños y adolecentes ante amenazas de vulneracion de sus derechos,"1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_1_1_13,ODS_1_4,ODS_1,PND_1_1
1.1.13 Proteger a los niños y adolecentes ante amenazas de vulneracion de sus derechos,"16.2 Poner fin al maltrato, la explotación, la trata y todas las formas de violencia y tortura contra los niños",Parcial,PND_1_1_13,ODS_16_2,ODS_16,PND_1_1
1.1.13 Proteger a los niños y adolecentes ante amenazas de vulneracion de sus derechos,16.3 Promover el estado de derecho en los planos nacional e internacional y garantizar la igualdad de acceso a la justicia para todos,Parcial,PND_1_1_13,ODS_16_3,ODS_16,PND_1_1
1.1.13 Proteger a los niños y adolecentes ante amenazas de vulneracion de sus derechos,"8.7 Adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso, poner fin a las formas contemporáneas de esclavitud y la trata de personas y asegurar la prohibición y eliminación de las peores formas de trabajo infantil, incluidos el reclutamiento y la utilización de niños soldados, y, de aquí a 2025, poner fin al trabajo infantil en todas sus formas",Parcial,PND_1_1_13,ODS_8_7,ODS_8,PND_1_1
